location_scope,location_name,time_breakdown,breakdown,attribute,value
national,PH,December,month,min_temp_C,22.7
national,PH,December,month,ave_temp_C,26.3
national,PH,December,month,max_temp_C,29.9
national,PH,December,month,type_1_min,2.8
national,PH,December,month,type_1_max,92
national,PH,December,month,type_2_min,96.8
national,PH,December,month,type_2_max,674.8
national,PH,December,month,type_3_min,52.5
national,PH,December,month,type_3_max,258.9
national,PH,December,month,type_4_min,64.6
national,PH,December,month,type_4_max,675.8
national,PH,December,month,typhoon_count_min,1
national,PH,December,month,typhoon_count_max,2
national,PH,Annual,annual,min_temp_C,23.6
national,PH,Annual,annual,ave_temp_C,27.5
national,PH,Annual,annual,max_temp_C,31.4
national,PH,Annual,annual,type_1_min,1767.1
national,PH,Annual,annual,type_1_max,3841.4
national,PH,Annual,annual,type_2_min,2057.8
national,PH,Annual,annual,type_2_max,4464.9
national,PH,Annual,annual,type_3_min,1218.4
national,PH,Annual,annual,type_3_max,2487.8
national,PH,Annual,annual,type_4_min,959.9
national,PH,Annual,annual,type_4_max,4105.1
national,PH,Annual,annual,typhoon_count_min,19
national,PH,Annual,annual,typhoon_count_max,20
